Symbol,Security,SEC filings,GICS Sector,GICS Sub-Industry
ACGL,Arch Capital Group,reports,Financials,Reinsurance
ANET,Arista Networks,reports,Information Technology,Communications Equipment
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers
AIZ,Assurant,reports,Financials,Multi-line Insurance
T,AT&T,reports,Communication Services,Integrated Telecommunication Services
ATO,Atmos Energy,reports,Utilities,Gas Utilities
ADSK,Autodesk,reports,Information Technology,Application Software
AZO,AutoZone,reports,Consumer Discretionary,Specialty Stores
AVB,AvalonBay Communities,reports,Real Estate,Residential REITs
AVY,Avery Dennison,reports,Materials,Paper Packaging
BKR,Baker Hughes,reports,Energy,Oil & Gas Equipment & Services
BALL,Ball Corporation,reports,Materials,Metal & Glass Containers
BAC,Bank of America,reports,Financials,Diversified Banks
BBWI,"Bath & Body Works, Inc.",reports,Consumer Discretionary,Specialty Stores
BAX,Baxter International,reports,Health Care,Health Care Equipment
BDX,Becton Dickinson,reports,Health Care,Health Care Equipment
WRB,Berkley,reports,Financials,Property & Casualty Insurance
BRK.B,Berkshire Hathaway,reports,Financials,Multi-Sector Holdings
BBY,Best Buy,reports,Consumer Discretionary,Computer & Electronics Retail
BIO,Bio-Rad,reports,Health Care,Life Sciences Tools & Services
TECH,Bio-Techne,reports,Health Care,Life Sciences Tools & Services
BIIB,Biogen,reports,Health Care,Biotechnology
BLK,BlackRock,reports,Financials,Asset Management & Custody Banks
BK,BNY Mellon,reports,Financials,Asset Management & Custody Banks
BA,Boeing,reports,Industrials,Aerospace & Defense
BKNG,Booking Holdings,reports,Consumer Discretionary,Internet & Direct Marketing Retail
BWA,BorgWarner,reports,Consumer Discretionary,Auto Parts & Equipment
BXP,Boston Properties,reports,Real Estate,Office REITs
BSX,Boston Scientific,reports,Health Care,Health Care Equipment
BMY,Bristol Myers Squibb,reports,Health Care,Pharmaceuticals
AVGO,Broadcom Inc.,reports,Information Technology,Semiconductors
BR,Broadridge Financial Solutions,reports,Information Technology,Data Processing & Outsourced Services
BRO,Brown & Brown,reports,Financials,Insurance Brokers
BF.B,Brown–Forman,reports,Consumer Staples,Distillers & Vintners
CHRW,C.H. Robinson,reports,Industrials,Air Freight & Logistics
CDNS,Cadence Design Systems,reports,Information Technology,Application Software
CZR,Caesars Entertainment,reports,Consumer Discretionary,Casinos & Gaming
CPT,Camden Property Trust,reports,Real Estate,Residential REITs
CPB,Campbell Soup Company,reports,Consumer Staples,Packaged Foods & Meats
COF,Capital One,reports,Financials,Consumer Finance
CAH,Cardinal Health,reports,Health Care,Health Care Distributors
KMX,CarMax,reports,Consumer Discretionary,Automotive Retail
CCL,Carnival,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
CARR,Carrier Global,reports,Industrials,Building Products
CTLT,Catalent,reports,Health Care,Pharmaceuticals
CAT,Caterpillar Inc.,reports,Industrials,Construction Machinery & Heavy Trucks
CBOE,Cboe Global Markets,reports,Financials,Financial Exchanges & Data
CBRE,CBRE Group,reports,Real Estate,Real Estate Services
CDW,CDW,reports,Information Technology,Technology Distributors
CE,Celanese,reports,Materials,Specialty Chemicals
CNC,Centene Corporation,reports,Health Care,Managed Health Care
CNP,CenterPoint Energy,reports,Utilities,Multi-Utilities
CDAY,Ceridian,reports,Information Technology,Application Software
CF,CF Industries,reports,Materials,Fertilizers & Agricultural Chemicals
CRL,Charles River Laboratories,reports,Health Care,Life Sciences Tools & Services
SCHW,Charles Schwab Corporation,reports,Financials,Investment Banking & Brokerage
CHTR,Charter Communications,reports,Communication Services,Cable & Satellite
CVX,Chevron Corporation,reports,Energy,Integrated Oil & Gas
CMG,Chipotle Mexican Grill,reports,Consumer Discretionary,Restaurants
CB,Chubb Limited,reports,Financials,Property & Casualty Insurance
CHD,Church & Dwight,reports,Consumer Staples,Household Products
CI,Cigna,reports,Health Care,Managed Health Care
CINF,Cincinnati Financial,reports,Financials,Property & Casualty Insurance
CTAS,Cintas,reports,Industrials,Diversified Support Services
CSCO,Cisco,reports,Information Technology,Communications Equipment
C,Citigroup,reports,Financials,Diversified Banks
CFG,Citizens Financial Group,reports,Financials,Regional Banks
CLX,Clorox,reports,Consumer Staples,Household Products
CME,CME Group,reports,Financials,Financial Exchanges & Data
CMS,CMS Energy,reports,Utilities,Multi-Utilities
KO,The Coca-Cola Company,reports,Consumer Staples,Soft Drinks
CTSH,Cognizant,reports,Information Technology,IT Consulting & Other Services
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products
CMCSA,Comcast,reports,Communication Services,Cable & Satellite
CMA,Comerica,reports,Financials,Diversified Banks
CAG,Conagra Brands,reports,Consumer Staples,Packaged Foods & Meats
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production
ED,Consolidated Edison,reports,Utilities,Electric Utilities
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners
CEG,Constellation Energy,reports,Utilities,Multi-Utilities
COO,CooperCompanies,reports,Health Care,Health Care Supplies
CPRT,Copart,reports,Industrials,Diversified Support Services
GLW,Corning Inc.,reports,Information Technology,Electronic Components
CTVA,Corteva,reports,Materials,Fertilizers & Agricultural Chemicals
CSGP,CoStar Group,reports,Industrials,Research & Consulting Services
COST,Costco,reports,Consumer Staples,Hypermarkets & Super Centers
CTRA,Coterra,reports,Energy,Oil & Gas Exploration & Production
CCI,Crown Castle,reports,Real Estate,Specialized REITs
CSX,CSX,reports,Industrials,Railroads
CMI,Cummins,reports,Industrials,Industrial Machinery
CVS,CVS Health,reports,Health Care,Health Care Services
DHI,D.R. Horton,reports,Consumer Discretionary,Homebuilding
DHR,Danaher Corporation,reports,Health Care,Health Care Equipment
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities
DE,John Deere,reports,Industrials,Agricultural & Farm Machinery
DAL,Delta Air Lines,reports,Industrials,Airlines
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies
DVN,Devon Energy,reports,Energy,Oil & Gas Exploration & Production
DXCM,Dexcom,reports,Health Care,Health Care Equipment
FANG,Diamondback Energy,reports,Energy,Oil & Gas Exploration & Production
DLR,Digital Realty,reports,Real Estate,Specialized REITs
DFS,Discover Financial,reports,Financials,Consumer Finance
DISH,Dish Network,reports,Communication Services,Cable & Satellite
DIS,Disney,reports,Communication Services,Movies & Entertainment
DG,Dollar General,reports,Consumer Discretionary,General Merchandise Stores
DLTR,Dollar Tree,reports,Consumer Discretionary,General Merchandise Stores
D,Dominion Energy,reports,Utilities,Electric Utilities
DPZ,Domino's,reports,Consumer Discretionary,Restaurants
DOV,Dover Corporation,reports,Industrials,Industrial Machinery
DOW,Dow Inc.,reports,Materials,Commodity Chemicals
DTE,DTE Energy,reports,Utilities,Multi-Utilities
DUK,Duke Energy,reports,Utilities,Electric Utilities
DD,DuPont,reports,Materials,Specialty Chemicals
DXC,DXC Technology,reports,Information Technology,IT Consulting & Other Services
EMN,Eastman Chemical Company,reports,Materials,Diversified Chemicals
ETN,Eaton Corporation,reports,Industrials,Electrical Components & Equipment
EBAY,eBay,reports,Consumer Discretionary,Internet & Direct Marketing Retail
ECL,Ecolab,reports,Materials,Specialty Chemicals
EIX,Edison International,reports,Utilities,Electric Utilities
EW,Edwards Lifesciences,reports,Health Care,Health Care Equipment
EA,Electronic Arts,reports,Communication Services,Interactive Home Entertainment
ELV,Elevance Health,reports,Health Care,Managed Health Care
LLY,Eli Lilly and Company,reports,Health Care,Pharmaceuticals
EMR,Emerson Electric,reports,Industrials,Electrical Components & Equipment
ENPH,Enphase,reports,Information Technology,Electronic Components
ETR,Entergy,reports,Utilities,Electric Utilities
EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production
EPAM,EPAM Systems,reports,Information Technology,IT Consulting & Other Services
EQT,EQT,reports,Energy,Oil & Gas Exploration & Production
EFX,Equifax,reports,Industrials,Research & Consulting Services
EQIX,Equinix,reports,Real Estate,Specialized REITs
EQR,Equity Residential,reports,Real Estate,Residential REITs
ESS,Essex Property Trust,reports,Real Estate,Residential REITs
EL,The Estée Lauder Companies,reports,Consumer Staples,Personal Products
ETSY,Etsy,reports,Consumer Discretionary,Internet & Direct Marketing Retail
RE,Everest Re,reports,Financials,Reinsurance
EVRG,Evergy,reports,Utilities,Electric Utilities
ES,Eversource,reports,Utilities,Multi-Utilities
EXC,Exelon,reports,Utilities,Multi-Utilities
EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail
EXPD,Expeditors International,reports,Industrials,Air Freight & Logistics
EXR,Extra Space Storage,reports,Real Estate,Specialized REITs
XOM,ExxonMobil,reports,Energy,Integrated Oil & Gas
FFIV,"F5, Inc.",reports,Information Technology,Communications Equipment
FDS,FactSet,reports,Financials,Financial Exchanges & Data
FAST,Fastenal,reports,Industrials,Building Products
FRT,Federal Realty,reports,Real Estate,Retail REITs
FDX,FedEx,reports,Industrials,Air Freight & Logistics
FITB,Fifth Third Bank,reports,Financials,Regional Banks
FRC,First Republic Bank,reports,Financials,Regional Banks
FSLR,First Solar,reports,Information Technology,Semiconductors
FE,FirstEnergy,reports,Utilities,Electric Utilities
FIS,FIS,reports,Information Technology,Data Processing & Outsourced Services
FISV,Fiserv,reports,Information Technology,Data Processing & Outsourced Services
FLT,Fleetcor,reports,Information Technology,Data Processing & Outsourced Services
FMC,FMC Corporation,reports,Materials,Fertilizers & Agricultural Chemicals
F,Ford Motor Company,reports,Consumer Discretionary,Automobile Manufacturers
FTNT,Fortinet,reports,Information Technology,Systems Software
FTV,Fortive,reports,Industrials,Industrial Machinery
FOXA,Fox Corporation (Class A),reports,Communication Services,Movies & Entertainment
FOX,Fox Corporation (Class B),reports,Communication Services,Movies & Entertainment
BEN,Franklin Templeton,reports,Financials,Asset Management & Custody Banks
FCX,Freeport-McMoRan,reports,Materials,Copper
GRMN,Garmin,reports,Consumer Discretionary,Consumer Electronics
IT,Gartner,reports,Information Technology,IT Consulting & Other Services
GEHC,GE HealthCare,reports,Health Care,Health Care Technology
GEN,Gen Digital,reports,Information Technology,Application Software
GNRC,Generac,reports,Industrials,Electrical Components & Equipment
GD,General Dynamics,reports,Industrials,Aerospace & Defense
GE,General Electric,reports,Industrials,Industrial Conglomerates
GIS,General Mills,reports,Consumer Staples,Packaged Foods & Meats
GM,General Motors,reports,Consumer Discretionary,Automobile Manufacturers
GPC,Genuine Parts Company,reports,Consumer Discretionary,Specialty Stores
GILD,Gilead Sciences,reports,Health Care,Biotechnology
GL,Globe Life,reports,Financials,Life & Health Insurance
GPN,Global Payments,reports,Information Technology,Data Processing & Outsourced Services
GS,Goldman Sachs,reports,Financials,Investment Banking & Brokerage
HAL,Halliburton,reports,Energy,Oil & Gas Equipment & Services
HIG,Hartford (The),reports,Financials,Property & Casualty Insurance
HAS,Hasbro,reports,Consumer Discretionary,Leisure Products
HCA,HCA Healthcare,reports,Health Care,Health Care Facilities
PEAK,Healthpeak,reports,Real Estate,Health Care REITs
HSIC,Henry Schein,reports,Health Care,Health Care Distributors
HSY,Hershey's,reports,Consumer Staples,Packaged Foods & Meats
HES,Hess Corporation,reports,Energy,Integrated Oil & Gas
HPE,Hewlett Packard Enterprise,reports,Information Technology,"Technology Hardware, Storage & Peripherals"
HLT,Hilton Worldwide,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
HOLX,Hologic,reports,Health Care,Health Care Equipment
HD,Home Depot (The),reports,Consumer Discretionary,Home Improvement Retail
HON,Honeywell,reports,Industrials,Industrial Conglomerates
HRL,Hormel Foods,reports,Consumer Staples,Packaged Foods & Meats
HST,Host Hotels & Resorts,reports,Real Estate,Hotel & Resort REITs
HWM,Howmet Aerospace,reports,Industrials,Aerospace & Defense
HPQ,HP Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals"
HUM,Humana,reports,Health Care,Managed Health Care
HBAN,Huntington Bancshares,reports,Financials,Regional Banks
HII,Huntington Ingalls Industries,reports,Industrials,Aerospace & Defense
IBM,IBM,reports,Information Technology,IT Consulting & Other Services
IEX,IDEX Corporation,reports,Industrials,Industrial Machinery
IDXX,Idexx Laboratories,reports,Health Care,Health Care Equipment
ITW,Illinois Tool Works,reports,Industrials,Industrial Machinery
ILMN,Illumina,reports,Health Care,Life Sciences Tools & Services
INCY,Incyte,reports,Health Care,Biotechnology
IR,Ingersoll Rand,reports,Industrials,Industrial Machinery
INTC,Intel,reports,Information Technology,Semiconductors
ICE,Intercontinental Exchange,reports,Financials,Financial Exchanges & Data
IP,International Paper,reports,Materials,Paper Packaging
IPG,The Interpublic Group of Companies,reports,Communication Services,Advertising
IFF,International Flavors & Fragrances,reports,Materials,Specialty Chemicals
INTU,Intuit,reports,Information Technology,Application Software
ISRG,Intuitive Surgical,reports,Health Care,Health Care Equipment
IVZ,Invesco,reports,Financials,Asset Management & Custody Banks
INVH,Invitation Homes,reports,Real Estate,Residential REITs
IQV,IQVIA,reports,Health Care,Life Sciences Tools & Services
IRM,Iron Mountain,reports,Real Estate,Specialized REITs
JBHT,J.B. Hunt,reports,Industrials,Trucking
JKHY,Jack Henry & Associates,reports,Information Technology,Data Processing & Outsourced Services
J,Jacobs Solutions,reports,Industrials,Construction & Engineering
JNJ,Johnson & Johnson,reports,Health Care,Pharmaceuticals
JCI,Johnson Controls,reports,Industrials,Building Products
JPM,JPMorgan Chase,reports,Financials,Diversified Banks
JNPR,Juniper Networks,reports,Information Technology,Communications Equipment
K,Kellogg's,reports,Consumer Staples,Packaged Foods & Meats
KDP,Keurig Dr Pepper,reports,Consumer Staples,Soft Drinks
KEY,KeyCorp,reports,Financials,Regional Banks
KEYS,Keysight,reports,Information Technology,Electronic Equipment & Instruments
KMB,Kimberly-Clark,reports,Consumer Staples,Household Products
KIM,Kimco Realty,reports,Real Estate,Retail REITs
KMI,Kinder Morgan,reports,Energy,Oil & Gas Storage & Transportation
KLAC,KLA Corporation,reports,Information Technology,Semiconductor Equipment
KHC,Kraft Heinz,reports,Consumer Staples,Packaged Foods & Meats
KR,Kroger,reports,Consumer Staples,Food Retail
LHX,L3Harris,reports,Industrials,Aerospace & Defense
LH,LabCorp,reports,Health Care,Health Care Services
LRCX,Lam Research,reports,Information Technology,Semiconductor Equipment
LW,Lamb Weston,reports,Consumer Staples,Packaged Foods & Meats
LVS,Las Vegas Sands,reports,Consumer Discretionary,Casinos & Gaming
LDOS,Leidos,reports,Industrials,Diversified Support Services
LEN,Lennar,reports,Consumer Discretionary,Homebuilding
LNC,Lincoln Financial,reports,Financials,Multi-line Insurance
LIN,Linde plc,reports,Materials,Industrial Gases
LYV,Live Nation Entertainment,reports,Communication Services,Movies & Entertainment
LKQ,LKQ Corporation,reports,Consumer Discretionary,Distributors
LMT,Lockheed Martin,reports,Industrials,Aerospace & Defense
L,Loews Corporation,reports,Financials,Multi-line Insurance
LOW,Lowe's,reports,Consumer Discretionary,Home Improvement Retail
LUMN,Lumen Technologies,reports,Communication Services,Alternative Carriers
LYB,LyondellBasell,reports,Materials,Specialty Chemicals
MTB,M&T Bank,reports,Financials,Regional Banks
MRO,Marathon Oil,reports,Energy,Oil & Gas Exploration & Production
MPC,Marathon Petroleum,reports,Energy,Oil & Gas Refining & Marketing
MKTX,MarketAxess,reports,Financials,Financial Exchanges & Data
MAR,Marriott International,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MMC,Marsh McLennan,reports,Financials,Insurance Brokers
MLM,Martin Marietta Materials,reports,Materials,Construction Materials
MAS,Masco,reports,Industrials,Building Products
MA,Mastercard,reports,Information Technology,Data Processing & Outsourced Services
MTCH,Match Group,reports,Communication Services,Interactive Media & Services
MKC,McCormick & Company,reports,Consumer Staples,Packaged Foods & Meats
MCD,McDonald's,reports,Consumer Discretionary,Restaurants
MCK,McKesson,reports,Health Care,Health Care Distributors
MDT,Medtronic,reports,Health Care,Health Care Equipment
MRK,Merck & Co.,reports,Health Care,Pharmaceuticals
META,Meta Platforms,reports,Communication Services,Interactive Media & Services
MET,MetLife,reports,Financials,Life & Health Insurance
MTD,Mettler Toledo,reports,Health Care,Life Sciences Tools & Services
MGM,MGM Resorts,reports,Consumer Discretionary,Casinos & Gaming
MCHP,Microchip Technology,reports,Information Technology,Semiconductors
MU,Micron Technology,reports,Information Technology,Semiconductors
MSFT,Microsoft,reports,Information Technology,Systems Software
MAA,Mid-America Apartment Communities,reports,Real Estate,Residential REITs
MRNA,Moderna,reports,Health Care,Biotechnology
MHK,Mohawk Industries,reports,Consumer Discretionary,Home Furnishings
MOH,Molina Healthcare,reports,Health Care,Managed Health Care
TAP,Molson Coors Beverage Company,reports,Consumer Staples,Brewers
MDLZ,Mondelez International,reports,Consumer Staples,Packaged Foods & Meats
MPWR,Monolithic Power Systems,reports,Information Technology,Semiconductors
MNST,Monster Beverage,reports,Consumer Staples,Soft Drinks
MCO,Moody's Corporation,reports,Financials,Financial Exchanges & Data
MS,Morgan Stanley,reports,Financials,Investment Banking & Brokerage
MOS,The Mosaic Company,reports,Materials,Fertilizers & Agricultural Chemicals
MSI,Motorola Solutions,reports,Information Technology,Communications Equipment
MSCI,MSCI,reports,Financials,Financial Exchanges & Data
NDAQ,"Nasdaq, Inc.",reports,Financials,Financial Exchanges & Data
NTAP,NetApp,reports,Information Technology,"Technology Hardware, Storage & Peripherals"
NFLX,Netflix,reports,Communication Services,Movies & Entertainment
NWL,Newell Brands,reports,Consumer Discretionary,Housewares & Specialties
NEM,Newmont,reports,Materials,Gold
NWSA,News Corp (Class A),reports,Communication Services,Publishing
NWS,News Corp (Class B),reports,Communication Services,Publishing
NEE,NextEra Energy,reports,Utilities,Multi-Utilities
NKE,"Nike, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NI,NiSource,reports,Utilities,Multi-Utilities
NDSN,Nordson Corporation,reports,Industrials,Industrial Machinery
NSC,Norfolk Southern Railway,reports,Industrials,Railroads
NTRS,Northern Trust,reports,Financials,Asset Management & Custody Banks
NOC,Northrop Grumman,reports,Industrials,Aerospace & Defense
NCLH,Norwegian Cruise Line Holdings,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NRG,NRG Energy,reports,Utilities,Independent Power Producers & Energy Traders
NUE,Nucor,reports,Materials,Steel
NVDA,Nvidia,reports,Information Technology,Semiconductors
NVR,"NVR, Inc.",reports,Consumer Discretionary,Homebuilding
NXPI,NXP Semiconductors,reports,Information Technology,Semiconductors
ORLY,O'Reilly Auto Parts,reports,Consumer Discretionary,Specialty Stores
OXY,Occidental Petroleum,reports,Energy,Oil & Gas Exploration & Production
ODFL,Old Dominion,reports,Industrials,Trucking
OMC,Omnicom Group,reports,Communication Services,Advertising
ON,ON Semiconductor,reports,Information Technology,Semiconductors
OKE,ONEOK,reports,Energy,Oil & Gas Storage & Transportation
ORCL,Oracle Corporation,reports,Information Technology,Application Software
OGN,Organon & Co.,reports,Health Care,Pharmaceuticals
OTIS,Otis Worldwide,reports,Industrials,Industrial Machinery
PCAR,Paccar,reports,Industrials,Construction Machinery & Heavy Trucks
PKG,Packaging Corporation of America,reports,Materials,Paper Packaging
PARA,Paramount Global,reports,Communication Services,Movies & Entertainment
PH,Parker Hannifin,reports,Industrials,Industrial Machinery
PAYX,Paychex,reports,Information Technology,Data Processing & Outsourced Services
PAYC,Paycom,reports,Information Technology,Application Software
PYPL,PayPal,reports,Information Technology,Data Processing & Outsourced Services
PNR,Pentair,reports,Industrials,Industrial Machinery
PEP,PepsiCo,reports,Consumer Staples,Soft Drinks
PKI,PerkinElmer,reports,Health Care,Health Care Equipment
PFE,Pfizer,reports,Health Care,Pharmaceuticals
PCG,PG&E Corporation,reports,Utilities,Multi-Utilities
PM,Philip Morris International,reports,Consumer Staples,Tobacco
PSX,Phillips 66,reports,Energy,Oil & Gas Refining & Marketing
PNW,Pinnacle West,reports,Utilities,Multi-Utilities
PXD,Pioneer Natural Resources,reports,Energy,Oil & Gas Exploration & Production
PNC,PNC Financial Services,reports,Financials,Regional Banks
POOL,Pool Corporation,reports,Consumer Discretionary,Distributors
PPG,PPG Industries,reports,Materials,Specialty Chemicals
PPL,PPL Corporation,reports,Utilities,Electric Utilities
PFG,Principal Financial Group,reports,Financials,Life & Health Insurance
PG,Procter & Gamble,reports,Consumer Staples,Personal Products
PGR,Progressive Corporation,reports,Financials,Property & Casualty Insurance
PLD,Prologis,reports,Real Estate,Industrial REITs
PRU,Prudential Financial,reports,Financials,Life & Health Insurance
PEG,Public Service Enterprise Group,reports,Utilities,Electric Utilities
PTC,PTC,reports,Information Technology,Application Software
PSA,Public Storage,reports,Real Estate,Specialized REITs
PHM,PulteGroup,reports,Consumer Discretionary,Homebuilding
QRVO,Qorvo,reports,Information Technology,Semiconductors
PWR,Quanta Services,reports,Industrials,Construction & Engineering
QCOM,Qualcomm,reports,Information Technology,Semiconductors
DGX,Quest Diagnostics,reports,Health Care,Health Care Services
RL,Ralph Lauren Corporation,reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
RJF,Raymond James,reports,Financials,Investment Banking & Brokerage
RTX,Raytheon Technologies,reports,Industrials,Aerospace & Defense
O,Realty Income,reports,Real Estate,Retail REITs
REG,Regency Centers,reports,Real Estate,Retail REITs
REGN,Regeneron,reports,Health Care,Biotechnology
RF,Regions Financial Corporation,reports,Financials,Regional Banks
RSG,Republic Services,reports,Industrials,Environmental & Facilities Services
RMD,ResMed,reports,Health Care,Health Care Equipment
RHI,Robert Half,reports,Industrials,Human Resource & Employment Services
ROK,Rockwell Automation,reports,Industrials,Electrical Components & Equipment
ROL,"Rollins, Inc.",reports,Industrials,Environmental & Facilities Services
ROP,Roper Technologies,reports,Information Technology,Electronic Equipment & Instruments
ROST,Ross Stores,reports,Consumer Discretionary,Apparel Retail
RCL,Royal Caribbean Group,reports,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
SPGI,S&P Global,reports,Financials,Financial Exchanges & Data
CRM,Salesforce,reports,Information Technology,Application Software
SBAC,SBA Communications,reports,Real Estate,Specialized REITs
SLB,Schlumberger,reports,Energy,Oil & Gas Equipment & Services
STX,Seagate Technology,reports,Information Technology,"Technology Hardware, Storage & Peripherals"
SEE,Sealed Air,reports,Materials,Paper Packaging
SRE,Sempra Energy,reports,Utilities,Multi-Utilities
NOW,ServiceNow,reports,Information Technology,Systems Software
SHW,Sherwin-Williams,reports,Materials,Specialty Chemicals
SBNY,Signature Bank,reports,Financials,Regional Banks
SPG,Simon Property Group,reports,Real Estate,Retail REITs
SWKS,Skyworks Solutions,reports,Information Technology,Semiconductors
SJM,The J.M. Smucker Company,reports,Consumer Staples,Packaged Foods & Meats
SNA,Snap-on,reports,Industrials,Industrial Machinery
SEDG,SolarEdge,reports,Information Technology,Semiconductor Equipment
SO,Southern Company,reports,Utilities,Electric Utilities
LUV,Southwest Airlines,reports,Industrials,Airlines
SWK,Stanley Black & Decker,reports,Industrials,Industrial Machinery
SBUX,Starbucks,reports,Consumer Discretionary,Restaurants
STT,State Street Corporation,reports,Financials,Asset Management & Custody Banks
STLD,Steel Dynamics,reports,Materials,Steel
STE,Steris,reports,Health Care,Health Care Equipment
SYK,Stryker Corporation,reports,Health Care,Health Care Equipment
SIVB,SVB Financial,reports,Financials,Regional Banks
SYF,Synchrony Financial,reports,Financials,Consumer Finance
SNPS,Synopsys,reports,Information Technology,Application Software
SYY,Sysco,reports,Consumer Staples,Food Distributors
TMUS,T-Mobile US,reports,Communication Services,Wireless Telecommunication Services
TROW,T. Rowe Price,reports,Financials,Asset Management & Custody Banks
TTWO,Take-Two Interactive,reports,Communication Services,Interactive Home Entertainment
TPR,"Tapestry, Inc.",reports,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
TRGP,Targa Resources,reports,Energy,Oil & Gas Storage & Transportation
TGT,Target Corporation,reports,Consumer Discretionary,General Merchandise Stores
TEL,TE Connectivity,reports,Information Technology,Electronic Manufacturing Services
TDY,Teledyne Technologies,reports,Information Technology,Electronic Equipment & Instruments
TFX,Teleflex,reports,Health Care,Health Care Equipment
TER,Teradyne,reports,Information Technology,Semiconductor Equipment
TSLA,"Tesla, Inc.",reports,Consumer Discretionary,Automobile Manufacturers
TXN,Texas Instruments,reports,Information Technology,Semiconductors
TXT,Textron,reports,Industrials,Aerospace & Defense
TMO,Thermo Fisher Scientific,reports,Health Care,Life Sciences Tools & Services
TJX,TJX Companies,reports,Consumer Discretionary,Apparel Retail
TSCO,Tractor Supply,reports,Consumer Discretionary,Specialty Stores
TT,Trane Technologies,reports,Industrials,Building Products
TDG,TransDigm Group,reports,Industrials,Aerospace & Defense
TRV,The Travelers Companies,reports,Financials,Property & Casualty Insurance
TRMB,Trimble Inc.,reports,Information Technology,Electronic Equipment & Instruments
TFC,Truist,reports,Financials,Regional Banks
TYL,Tyler Technologies,reports,Information Technology,Application Software
TSN,Tyson Foods,reports,Consumer Staples,Packaged Foods & Meats
USB,U.S. Bank,reports,Financials,Diversified Banks
UDR,"UDR, Inc.",reports,Real Estate,Residential REITs
